Month,ARSAR00067,ARSAR00176,ARSAR00290,ARSAR00295,ARSAR00400,ARSAR00428,ARSAR00583,ARSAR00780,ARSAR01660,ARSAR01804,ARSAR03172,ARSAR03904,ARSAR04561,ARSAR04727,ARSAR04735,ARSAR05041,ARSARFIT002,ARSARFIT103,ARSARFIT104,ARSARFIT105,ARSARFIT106,ARSARFIT113,BCHAR00076,BCHAR01733,BCHAR01871,BCHAR01980,BCHAR02586,CDAAR00352,CDAAR01291,CEIAR00567,CEIAR00568,CJLAR04081,CJLAR04127,CNTAR00951,CNTAR00952,CNTAR01145,CNTAR01410,CNTAR01773,CNTAR01941,CNTAR02248,CNTAR02249,CNTAR02256,CNTAR03301,CNTAR03515,CNTAR03516,DRLAR00845,DTTAR01398,DTTAR01552,DTTAR02924,DTTAR02975,DTTAR05745,FLCAR05113,FLCAR05223,FLDAR00256,FLDAR01996,FLDAR04069,GTSAR02104,GTSAR02239,GTSAR06246,GTSAR06247,HJMAR00181,HJMAR00193,HJMAR00248,HJMAR00279,HJMAR00280,HJMAR00532,HJMAR00723,HJMAR00783,HJMAR01328,HJMAR03842,HJMAR04178,HJMAR04639,HLAAR00046,HLAAR00780,HLAAR01401,HLAAR01402,HLAAR01404,HLAAR01440,HLAAR01671,HLAAR01732,HLAAR01857,HLAAR02345,HLAAR02956,HLAAR04187,HLAAR04188,HLAAR04811,HLAAR04812,HLAAR04863,HLAAR05296,HLAAR06140,HLATP8JA746184022,HLATP8KW744837002,HLATP9GD746185002,JGRAR00795,JSCAR01691,JSCAR04200,KNRAR00036,MLEAR00075,MLEAR00076,MLEAR01254,MLEAR01973,MLEAR02543,MLEAR03863,MRTAR01234,MRTAR01270,MRTAR01447,NAKAR00018,NAKAR00030,OTHAR00180,OTHAR00236,OTHAR00240,OTHAR00295,OTHAR00466,OTHAR00920,OTHAR01246-1,OTHAR01280,OTHAR01291,OTHAR01297,OTHAR02505,OTHAR02506,OTHAR02679,OTHAR03353,OTHAR04794,OTHAR04795,OTHAR05031,OTHAR05182,OTHAR05960,OTHAR05964,OTHAR05967,OTHAR05990,OTHAR06006,OTHAR06007,OTHAR06016,OTHTP00230,OTHTP1365510-1,OTHTP182929,PRVAR00071,PRVAR01138,PRVAR01398,PRVAR04333,RMNAR05524,RORAR01276,RORAR01297,RORAR02416,RORAR02446,SHLAR06460,SHNAR01546,SHNAR02924,SHNAR02975,TKAAR01552,TKAAR02975,TKAAR05758,TRWAR02261,VLEAR03685,VLEAR04008,WBCAR00071,WBCAR00089,WBCAR00111,WBCAR00205,WBCAR00317,WBCAR00615,WBCAR00679,WBCAR01133,WBCAR01213,WBCAR01228,WBCAR01243,WBCAR01813,WBCAR01926,WBCAR01966,WBCAR02160,WBCAR02174,WBCAR02197,WBCAR02266,WBCAR02275,WBCAR02378,WBCAR02601,WBCAR03839,WTKAR01155
2023-01,6.0,2.0,4.0,0.0,1730.0,0.0,30.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,25.0,12.0,162.0,6.0,0.0,2.0,0.0,12.0,22.0,0.0,0.0,15.0,15.0,3.0,2.0,0.0,30.0,2.0,6.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,5.0,6.0,5.0,2.0,4.0,0.0,0.0,0.0,6.0,0.0,40.0,3.0,96.0,30.0,20.0,9.0,0.0,8.0,30.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,84.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,420.0,1.0,7.0,0.0,2.0,1.0,15.0,10.0,-3.0,3.0,0.0,10.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0
2023-02,3.0,6.0,8.0,0.0,1250.0,4.0,3.0,0.0,8.0,20.0,20.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,560.0,5.0,0.0,10.0,0.0,7.0,4.0,2.0,2.0,11.0,22.0,4.0,0.0,3.0,10.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,50.0,1340.0,1000.0,340.0,0.0,0.0,2.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,13.0,2.0,17.0,20.0,20.0,0.0,36.0,10.0,0.0,11.0,5.0,4.0,0.0,0.0,0.0,10.0,10.0,0.0,30.0,6.0,10.0,15.0,16.0,0.0,0.0,40.0,40.0,40.0,100.0,0.0,0.0,0.0,0.0,21.0,8.0,4.0,35.0,29.0,0.0,11.0,5.0,1.0,0.0,4.0,8.0,16.0,0.0,5.0,20.0,40.0,9.0,0.0,10.0,30.0,2.0,0.0,28.0,20.0,0.0,1.0,0.0,0.0,40.0,40.0,0.0,40.0,0.0,0.0,25.0,0.0,0.0,0.0,72.0,10.0,0.0,18.0,4.0,8.0,9.0,12.0,4.0,0.0,20.0,0.0,37.0,0.0,2.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,210.0,3.0,0.0,0.0,3.0,1.0,10.0,5.0,5.0,10.0,14.0,4.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,52.0
2023-03,10.0,20.0,0.0,439.0,675.0,100.0,15.0,0.0,0.0,4.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,12.0,0.0,160.0,10.0,0.0,6.0,0.0,33.0,26.0,4.0,4.0,17.0,5.0,1.0,0.0,0.0,60.0,9.0,11.0,22.0,7.0,3.0,5.0,26.0,5.0,0.0,0.0,0.0,0.0,7.0,2.0,16.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,60.0,0.0,0.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,4.0,5.0,23.0,4.0,16.0,9.0,14.0,6.0,2.0,32.0,28.0,0.0,14.0,0.0,20.0,7.0,0.0,0.0,0.0,5.0,12.0,32.0,20.0,3.0,1.0,3.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,8.0,9.0,5.0,112.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,20.0,20.0,0.0,30.0,0.0,420.0,24.0,5.0,0.0,8.0,0.0,22.0,1.0,0.0,20.0,12.0,0.0,20.0,15.0,13.0,3.0,12.0,0.0,0.0,1.0,0.0,4.0,1.0,94.0
2023-04,2.0,2.0,0.0,75.0,725.0,20.0,20.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,28.0,10.0,0.0,1.0,6.0,160.0,4.0,4.0,0.0,4.0,2.0,2.0,5.0,2.0,12.0,15.0,7.0,2.0,2.0,67.0,2.0,5.0,28.0,1.0,8.0,7.0,8.0,52.0,0.0,0.0,0.0,0.0,11.0,3.0,25.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,4.0,20.0,16.0,1.0,4.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,26.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,0.0,37.0,10.0,1.0,3.0,4.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,10.0,2.0,29.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,32.0,16.0,40.0,72.0,50.0,40.0,0.0,13.0,4.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,31.0,0.0,0.0,0.0,420.0,6.0,5.0,0.0,1.0,0.0,2.0,0.0,3.0,9.0,2.0,10.0,5.0,5.0,1.0,5.0,0.0,0.0,210.0,12.0,0.0,1.0,2.0,40.0
2023-05,0.0,0.0,8.0,64.0,1500.0,1.0,12.0,0.0,0.0,0.0,0.0,18.0,1.0,100.0,100.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,11.0,24.0,5.0,24.0,11.0,6.0,30.0,13.0,14.0,3.0,2.0,20.0,7.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,3.0,32.0,6.0,0.0,50.0,660.0,0.0,660.0,0.0,13.0,1.0,2.0,5.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,10.0,20.0,20.0,-20.0,16.0,0.0,2.0,2.0,10.0,0.0,0.0,20.0,1.0,1.0,1.0,0.0,10.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,7.0,1.0,1.0,11.0,0.0,0.0,6.0,2.0,3.0,16.0,30.0,6.0,30.0,0.0,14.0,0.0,18.0,0.0,1.0,0.0,10.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1131.0,0.0,2.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,10.0,38.0,4.0,10.0,10.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,31.0,0.0,3.0,16.0,0.0,5.0,3.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,30.0,0.0,6.0,0.0,5.0,3.0,57.0
2023-06,0.0,2.0,8.0,224.0,400.0,10.0,0.0,0.0,8.0,21.0,0.0,18.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,50.0,15.0,22.0,340.0,7.0,6.0,0.0,13.0,12.0,12.0,5.0,7.0,11.0,21.0,1.0,0.0,1.0,7.0,2.0,20.0,70.0,9.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,41.0,0.0,31.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0,20.0,2.0,24.0,24.0,0.0,0.0,0.0,12.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,16.0,0.0,0.0,0.0,10.0,4.0,8.0,10.0,18.0,1.0,1.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,3.0,30.0,20.0,0.0,0.0,0.0,0.0,14.0,0.0,26.0,0.0,1.0,4.0,0.0,0.0,21.0,21.0,0.0,21.0,1000.0,100.0,30.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,10.0,1.0,15.0,32.0,10.0,20.0,20.0,0.0,30.0,0.0,0.0,10.0,0.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,17.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,30.0,1.0,14.0,0.0,30.0,2.0,6.0,0.0,7.0,4.0,44.0
2023-07,0.0,0.0,28.0,200.0,160.0,50.0,100.0,0.0,32.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,9.0,1.0,0.0,3.0,5.0,5.0,0.0,3.0,2.0,6.0,7.0,24.0,23.0,6.0,0.0,0.0,19.0,1.0,27.0,0.0,3.0,10.0,19.0,4.0,24.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,5.0,4.0,24.0,41.0,35.0,0.0,4.0,0.0,26.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,20.0,20.0,0.0,0.0,0.0,30.0,15.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,8.0,34.0,8.0,2.0,1.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,16.0,30.0,8.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,1.0,45.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,420.0,0.0,5.0,0.0,0.0,3.0,2.0,1.0,5.0,8.0,3.0,10.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,9.0,0.0,2.0,4.0,56.0
2023-08,2.0,1.0,0.0,128.0,880.0,50.0,0.0,20.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,5.0,0.0,200.0,14.0,1.0,0.0,0.0,10.0,10.0,3.0,4.0,20.0,33.0,1.0,8.0,0.0,133.0,1.0,0.0,30.0,9.0,2.0,4.0,15.0,52.0,20.0,0.0,0.0,0.0,75.0,13.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,20.0,20.0,0.0,20.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,2.0,10.0,12.0,16.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,80.0,30.0,2.0,0.0,30.0,0.0,0.0,16.0,48.0,0.0,4.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,10.0,2.0,3.0,39.0,3.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,4.0,6.0,12.0,0.0,0.0,15.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,39.0
2023-09,16.0,0.0,4.0,0.0,660.0,0.0,0.0,40.0,0.0,0.0,13.0,0.0,2.0,100.0,100.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,24.0,38.0,0.0,7.0,0.0,21.0,10.0,15.0,8.0,5.0,33.0,26.0,6.0,3.0,0.0,0.0,0.0,10.0,36.0,3.0,0.0,7.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,20.0,10.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,6.0,9.0,1.0,11.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,32.0,10.0,6.0,0.0,12.0,0.0,5.0,0.0,48.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,14.0,3.0,30.0,0.0,30.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,20.0,0.0,504.0,420.0,20.0,25.0,18.0,7.0,0.0,20.0,0.0,4.0,9.0,0.0,4.0,10.0,3.0,0.0,0.0,20.0,0.0,0.0,2.0,60.0,0.0,2.0,30.0
2023-10,0.0,0.0,20.0,256.0,1600.0,10.0,10.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,200.0,4.0,3.0,0.0,0.0,16.0,16.0,2.0,1.0,3.0,19.0,5.0,7.0,1.0,12.0,10.0,0.0,0.0,9.0,16.0,6.0,6.0,50.0,0.0,0.0,0.0,20.0,0.0,4.0,2.0,1.0,5.0,7.0,2.0,0.0,0.0,0.0,19.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,20.0,20.0,200.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,34.0,31.0,31.0,0.0,22.0,0.0,0.0,0.0,20.0,0.0,0.0,38.0,2.0,11.0,1.0,6.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,20.0,60.0,0.0,0.0,4.0,0.0,0.0,10.0,26.0,0.0,9.0,3.0,5.0,6.0,31.0,30.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,4.0,5.0,0.0,0.0,15.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,28.0
