Month,ARSAR00228,ARSAR00427,ARSAR00513,ARSAR01345,ARSAR01632,ARSAR01681,ARSAR01801,ARSAR01804,ARSAR01867,ARSAR03904,ARSAR04241,ARSAR04377,ARSAR04573,ARSARFIT106,BCHAR00076,BCHAR01871-1,BCHAR01980,BCHAR02441,BCHAR03239,BCHAR03648,BHRAR00169,CEIAR00567,CEIAR00568,CEIAR00929,CEIAR01167,CEIAR02143,CEIAR02433,CEIAR03264,CEIAR03667,CJLAR04081,CJLAR04127,CJLAR04302,CJLAR05780,CNTAR00951,CNTAR00952,CNTAR01041,CNTAR01145,CNTAR01410,CNTAR01773,CNTAR01941,CNTAR02248,CNTAR02249,CNTAR02255,CNTAR02256,CNTAR03301,CNTAR03515,CNTAR03516,CNTAR04183,DCOAR01056,DCOAR01789,DCOAR02106,DCOAR02611,DCOAR05128,DPOAR00596,DPOAR00597,DPOAR00736,DTTAR01984,DTTAR02439,DTTAR02493,DTTAR02541,DTTAR02617,DTTAR02696,DTTAR02705,DTTAR03716,DTTAR03777,DTTAR03997,DTTAR04225-1,DTTAR04398,DTTAR04565,DTTAR04775,DTTAR05309,DTTAR05310,DTTAR05745,FLCAR05113,FLDAR00076,FLDAR00128,FLDAR04263,FMTAR02262,FTEAR02593,GTSAR02105,HCSAR02104,HGTAR00566,HJMAR00181,HJMAR00193,HJMAR00246,HJMAR00723,HJMAR01147,HJMAR01632,HJMAR02753,HJMAR04639,HJMAR05512,HLAAR01671,HLAAR01732,HLAAR02345,JGRAR00795,JGRAR02494,JSCAR01557,KNRAR00036,KNRAR02334,KNRAR04491,MLEAR00074,MLEAR00075,MLEAR00076,MLEAR00169,MLEAR00177,MLEAR00313,MLEAR00566,MLEAR00904,MLEAR01060,MLEAR01252,MLEAR01254,MLEAR01761,MLEAR01762,MLEAR01973,MLEAR01984,MLEAR02483,MLEAR02485,MLEAR02486,MLEAR02489,MLEAR02496,MLEAR02997,MLEAR03607,MLEAR03608,MLEAR04216,MLEAR04217,MLEAR04406,MLEAR05864,MNNAR00256,MROAR02128,MROAR02479,MROAR02480,MRTAR01303,MRTAR01332,MRTAR01447,OTHAR00009,OTHAR00180,OTHAR00182,OTHAR00243,OTHAR00605,OTHAR00606,OTHAR01157,OTHAR01246-1,OTHAR01399-1,OTHAR01671,OTHAR02439,OTHAR02479-1,OTHAR03449,OTHAR03544,OTHAR03764,OTHAR04763,OTHAR04929,OTHAR05967,OTHAR05983,OTHAR05995,OTHAR06008,OTHAR06017,OTHAR06087,OTHAR06691,OTHTP1545906,OTHTP980623220-3,OTHTP980623220-4,PHXAR00545,PRVAR00071,PRVAR01398,PRVAR04333,RORAR01130,RORAR01131,RORAR01138,RORAR01147,RORAR01159,RORAR01331,RORAR02416,SCSAR02108,SHNAR05309,SHNAR05310,SKFAR00191,SKFAR00192,SKFAR01805,SSSTP0237790,TRWAR00036,TRWAR01398,TXRAR01398,TXRAR05782,TXRAR05783,VLEAR04392,WBCAR00071,WBCAR00087,WBCAR00089,WBCAR00111,WBCAR00188,WBCAR00204,WBCAR00205,WBCAR00496,WBCAR00603,WBCAR00604,WBCAR00614,WBCAR00615,WBCAR00696,WBCAR01133,WBCAR01213,WBCAR01228,WBCAR01256,WBCAR01399,WBCAR01469,WBCAR01966,WBCAR02025-1,WBCAR02028,WBCAR02160,WBCAR02245,WBCAR02266,WBCAR02274,WBCAR02275,WBCAR02472,WBCAR02601,WBCAR04921,WTKAR01155,WTKAR01385,XNLAR06086
2023-01,8.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.0,12.0,24.0,0.0,11.0,1.0,3.0,5.0,5.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,20.0,0.0,1.0,8.0,3.0,2.0,2.0,15.0,3.0,6.0,0.0,0.0,2.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,10.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,8.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,8.0,16.0,16.0,0.0,0.0,16.0,16.0,2.0,2.0,16.0,14.0,2.0,2.0,4.0,2.0,8.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,6.0,1.0,7.0,0.0,0.0,5.0,6.0,3.0,4.0,3.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,100.0
2023-02,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,70.0,10.0,4.0,2.0,4.0,10.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,3.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,4.0,5.0,3.0,0.0,6.0,3.0,3.0,1.0,6.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,30.0,4.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,6.0,1.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,32.0,32.0,1.0,1.0,18.0,15.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,2.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,4.0,0.0,10.0,0.0
2023-03,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,11.0,12.0,2.0,2.0,5.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,0.0,10.0,14.0,4.0,0.0,0.0,0.0,17.0,10.0,12.0,0.0,18.0,1.0,5.0,5.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,6.0,5.0,3.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,10.0,20.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,22.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,6.0,0.0,0.0,10.0,0.0,7.0,3.0,0.0,6.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,2.0,2.0,40.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.0,13.0,1.0,2.0,10.0,2.0,0.0,4.0,0.0,0.0,10.0,20.0,0.0,2.0,0.0,50.0,0.0,4.0,0.0,0.0,0.0,7.0,8.0,1.0,3.0,0.0,0.0,10.0,13.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,6.0,0.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,15.0,2.0,32.0,1.0,8.0,5.0,0.0,0.0,0.0
2023-04,6.0,0.0,6.0,2.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,24.0,10.0,0.0,8.0,1.0,7.0,10.0,6.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,1.0,0.0,10.0,0.0,8.0,3.0,40.0,3.0,4.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,20.0,10.0,0.0,0.0,0.0,25.0,12.0,0.0,3.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,0.0,4.0,1.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,29.0,19.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,3.0,1.0,0.0,1.0,2.0,10.0,0.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,6.0,0.0
2023-05,6.0,10.0,0.0,1.0,0.0,2.0,2.0,61.0,2.0,12.0,2.0,0.0,4.0,0.0,0.0,0.0,16.0,2.0,10.0,4.0,0.0,2.0,3.0,7.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,50.0,4.0,3.0,5.0,2.0,-1.0,0.0,4.0,0.0,12.0,2.0,39.0,8.0,7.0,5.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,4.0,20.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,8.0,11.0,0.0,0.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,8.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,16.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,8.0,10.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,3.0,6.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,6.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,10.0,6.0,4.0,0.0,4.0,0.0,8.0,0.0,0.0
2023-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,24.0,5.0,5.0,0.0,2.0,10.0,0.0,0.0,3.0,9.0,10.0,5.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,2.0,5.0,0.0,4.0,3.0,2.0,1.0,4.0,4.0,0.0,0.0,3.0,0.0,2.0,10.0,3.0,4.0,0.0,0.0,8.0,3.0,6.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,2.0,1.0,1.0,0.0,2.0,6.0,7.0,27.0,12.0,2.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,14.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,50.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,11.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,10.0,4.0,1.0,0.0,4.0,0.0,0.0
2023-07,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,5.0,0.0,11.0,5.0,4.0,1.0,3.0,4.0,0.0,1.0,16.0,0.0,16.0,15.0,1.0,4.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,67.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,42.0,0.0,10.0,0.0,10.0,25.0,8.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,22.0,1.0,2.0,5.0,0.0,0.0,9.0,0.0,0.0,3.0,3.0,2.0,0.0,4.0,0.0,4.0,6.0,4.0,8.0,10.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,8.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,10.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,8.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,4.0,4.0,6.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
2023-08,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,18.0,9.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,12.0,0.0,5.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,4.0,1.0,1.0,4.0,15.0,6.0,9.0,0.0,69.0,6.0,2.0,1.0,2.0,0.0,0.0,6.0,2.0,0.0,1.0,3.0,40.0,0.0,6.0,4.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,21.0,0.0,1.0,6.0,7.0,0.0,2.0,0.0,0.0,17.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,4.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,2.0,5.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,6.0,1.0,3.0,7.0,0.0,0.0,6.0,18.0,1.0,0.0,2.0,4.0,0.0,0.0
2023-09,0.0,0.0,0.0,3.0,10.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,3.0,2.0,4.0,1.0,10.0,0.0,29.0,0.0,36.0,13.0,15.0,10.0,1.0,3.0,3.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,0.0,5.0,0.0,0.0,3.0,7.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,11.0,7.0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,9.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,0.0,0.0,4.0,0.0,3.0,60.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,6.0,19.0,1.0,0.0,0.0,4.0,0.0,0.0
2023-10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,0.0,7.0,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,10.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,77.0,6.0,3.0,5.0,0.0,1.0,10.0,21.0,0.0,0.0,0.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,-1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,50.0,50.0,15.0,4.0,0.0,5.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,16.0,3.0,0.0,4.0,25.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,6.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,6.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,0.0,4.0,0.0,1.0,2.0,0.0,8.0,100.0
