年_月,BCHAR00076,BCHAR00559,BCHAR00892,BCHAR01730,BCHAR01733,BCHAR01778,BCHAR01779,BCHAR01844,BCHAR01871,BCHAR01980,BCHAR02000,BCHAR02132,BCHAR02135,BCHAR02212,BCHAR02223,BCHAR02257,BCHAR02319,BCHAR02329,BCHAR02441,BCHAR02458,BCHAR02465,BCHAR02586,BCHAR02695,BCHAR02697,BCHAR02723,BCHAR02755,BCHAR02816,BCHAR03535,BCHAR03536,BCHAR03614,BCHAR03648,BCHAR03706,BCHAR03868,BCHAR03940,BCHAR04019,BCHAR04279,BCHAR04443,BCHAR04483,BCHAR04506,BCHAR04684,BCHAR04744,BCHAR04778,BCHAR05069,BCHAR05158,BCHAR05283,BCHAR05582,BCHTP1382290,總計
2023-1,25.0,0.0,0.0,0.0,12.0,6.0,0.0,1.0,162.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
2023-10,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,200.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0
2023-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,259.0
2023-12,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2023-2,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,560.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,10.0,1.0,0.0,0.0,10.0,0.0,622.0
2023-3,12.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,160.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
2023-4,1.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,160.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,199.0
2023-5,11.0,0.0,1.0,0.0,24.0,0.0,0.0,1.0,5.0,24.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,11.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0
2023-6,15.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,340.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0
2023-7,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2023-8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,14.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0
2023-9,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0
