年_月,BCHAR00076,BCHAR00559,BCHAR00892,BCHAR01731,BCHAR01733,BCHAR01817,BCHAR01844,BCHAR01851,BCHAR01871,BCHAR01884,BCHAR01980,BCHAR02000,BCHAR02132,BCHAR02163,BCHAR02223,BCHAR02271,BCHAR02302,BCHAR02319,BCHAR02441,BCHAR02465,BCHAR02586,BCHAR02655,BCHAR02697,BCHAR02816,BCHAR03535,BCHAR03648,BCHAR03874,BCHAR04093,BCHAR04166,BCHAR04443,BCHAR04529,BCHAR04684,BCHAR05069,BCHAR06151,總計
2023-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
2023-10,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0
2023-11,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0
2023-12,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,36.0
2023-2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,12.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0
2023-3,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
2023-4,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0
2023-5,9.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,30.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0
2023-6,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
2023-7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,19.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,156.0
2023-8,4.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,8.0,1.0,0.0,152.0
2023-9,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,13.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,79.0
